Condition,Behavior,Bin,Probability
Control,still,0,0.0093613480341169
Control,still,1,0.4551695444143956
Control,still,2,0.458498023715415
Control,still,3,0.0482629498647805
Control,still,4,0.0133139172040773
Control,still,5,0.0060328687330975
Control,still,6,0.003536509257333
Control,still,7,0.0022883295194508
Control,still,8,0.0014562096941959
Control,still,9,0.002080299563137
Control,walking,0,0.0010794140323824
Control,walking,1,0.0912875867386276
Control,walking,2,0.1535851966075559
Control,walking,3,0.1273708558211256
Control,walking,4,0.1568234387047031
Control,walking,5,0.1680801850424055
Control,walking,6,0.1212027756360832
Control,walking,7,0.0829606784888203
Control,walking,8,0.0474942174248265
Control,walking,9,0.0501156515034695
Control,rearing,0,0.0025591810620601
Control,rearing,1,0.2746854339944551
Control,rearing,2,0.5561953508210706
Control,rearing,3,0.1068458093410108
Control,rearing,4,0.0313499680102367
Control,rearing,5,0.0115163147792706
Control,rearing,6,0.0068244828321603
Control,rearing,7,0.0044785668586052
Control,rearing,8,0.00127959053103
Control,rearing,9,0.0042653017701002
Control,grooming,0,0.0029965753424657
Control,grooming,1,0.2893835616438356
Control,grooming,2,0.5821917808219178
Control,grooming,3,0.0680650684931506
Control,grooming,4,0.023972602739726
Control,grooming,5,0.0124143835616438
Control,grooming,6,0.0098458904109589
Control,grooming,7,0.0034246575342465
Control,grooming,8,0.0021404109589041
Control,grooming,9,0.0055650684931506
Control,licking hindpaw L,0,0.0666666666666666
Control,licking hindpaw L,1,0.2666666666666666
Control,licking hindpaw L,2,0.2222222222222222
Control,licking hindpaw L,3,0.2444444444444444
Control,licking hindpaw L,4,0.0666666666666666
Control,licking hindpaw L,5,0.0222222222222222
Control,licking hindpaw L,6,0.0222222222222222
Control,licking hindpaw L,7,0.0444444444444444
Control,licking hindpaw L,8,0.0444444444444444
Control,licking hindpaw L,9,0.0
Control,licking hindpaw R,0,0.2631578947368421
Control,licking hindpaw R,1,0.7368421052631579
Control,licking hindpaw R,2,0.0
Control,licking hindpaw R,3,0.0
Control,licking hindpaw R,4,0.0
Control,licking hindpaw R,5,0.0
Control,licking hindpaw R,6,0.0
Control,licking hindpaw R,7,0.0
Control,licking hindpaw R,8,0.0
Control,licking hindpaw R,9,0.0
1Per Formalin,still,0,0.2510775862068966
1Per Formalin,still,1,0.688757183908046
1Per Formalin,still,2,0.0377155172413793
1Per Formalin,still,3,0.0116738505747126
1Per Formalin,still,4,0.0057471264367816
1Per Formalin,still,5,0.0021551724137931
1Per Formalin,still,6,0.0007183908045977
1Per Formalin,still,7,0.0008979885057471
1Per Formalin,still,8,0.0001795977011494
1Per Formalin,still,9,0.0010775862068965
1Per Formalin,walking,0,0.0509919404835709
1Per Formalin,walking,1,0.3096714197148171
1Per Formalin,walking,2,0.2994420334779913
1Per Formalin,walking,3,0.2230316181029138
1Per Formalin,walking,4,0.0796652200867947
1Per Formalin,walking,5,0.0238685678859268
1Per Formalin,walking,6,0.0072845629262244
1Per Formalin,walking,7,0.0029448233106013
1Per Formalin,walking,8,0.0017048977061376
1Per Formalin,walking,9,0.0013949163050216
1Per Formalin,rearing,0,0.0916197623514696
1Per Formalin,rearing,1,0.7898686679174484
1Per Formalin,rearing,2,0.0878674171357098
1Per Formalin,rearing,3,0.0193871169480925
1Per Formalin,rearing,4,0.0059412132582864
1Per Formalin,rearing,5,0.0037523452157598
1Per Formalin,rearing,6,0.0003126954346466
1Per Formalin,rearing,7,0.0006253908692933
1Per Formalin,rearing,8,0.0006253908692933
1Per Formalin,rearing,9,0.0
1Per Formalin,grooming,0,0.0819905213270142
1Per Formalin,grooming,1,0.7426540284360189
1Per Formalin,grooming,2,0.1066350710900474
1Per Formalin,grooming,3,0.0303317535545023
1Per Formalin,grooming,4,0.0109004739336492
1Per Formalin,grooming,5,0.0047393364928909
1Per Formalin,grooming,6,0.0047393364928909
1Per Formalin,grooming,7,0.0028436018957345
1Per Formalin,grooming,8,0.0028436018957345
1Per Formalin,grooming,9,0.0123222748815165
1Per Formalin,licking hindpaw L,0,0.0026455026455026
1Per Formalin,licking hindpaw L,1,0.3068783068783068
1Per Formalin,licking hindpaw L,2,0.4021164021164021
1Per Formalin,licking hindpaw L,3,0.1216931216931216
1Per Formalin,licking hindpaw L,4,0.037037037037037
1Per Formalin,licking hindpaw L,5,0.0396825396825396
1Per Formalin,licking hindpaw L,6,0.0158730158730158
1Per Formalin,licking hindpaw L,7,0.0105820105820105
1Per Formalin,licking hindpaw L,8,0.0132275132275132
1Per Formalin,licking hindpaw L,9,0.0502645502645502
1Per Formalin,licking hindpaw R,0,0.2
1Per Formalin,licking hindpaw R,1,0.8
1Per Formalin,licking hindpaw R,2,0.0
1Per Formalin,licking hindpaw R,3,0.0
1Per Formalin,licking hindpaw R,4,0.0
1Per Formalin,licking hindpaw R,5,0.0
1Per Formalin,licking hindpaw R,6,0.0
1Per Formalin,licking hindpaw R,7,0.0
1Per Formalin,licking hindpaw R,8,0.0
1Per Formalin,licking hindpaw R,9,0.0
5Per Formalin,still,0,0.2537517053206002
5Per Formalin,still,1,0.677012278308322
5Per Formalin,still,2,0.0460436562073669
5Per Formalin,still,3,0.0133015006821282
5Per Formalin,still,4,0.0056275579809004
5Per Formalin,still,5,0.0011937244201909
5Per Formalin,still,6,0.0015347885402455
5Per Formalin,still,7,0.0005115961800818
5Per Formalin,still,8,0.0001705320600272
5Per Formalin,still,9,0.0008526603001364
5Per Formalin,walking,0,0.0585221980751319
5Per Formalin,walking,1,0.3483390251474697
5Per Formalin,walking,2,0.2958708475628687
5Per Formalin,walking,3,0.1912449549829245
5Per Formalin,walking,4,0.0683017696367587
5Per Formalin,walking,5,0.0226637690158335
5Per Formalin,walking,6,0.0060540204905308
5Per Formalin,walking,7,0.0038807823657249
5Per Formalin,walking,8,0.0018627755355479
5Per Formalin,walking,9,0.0032598571872089
5Per Formalin,rearing,0,0.0972222222222222
5Per Formalin,rearing,1,0.7681992337164751
5Per Formalin,rearing,2,0.10727969348659
5Per Formalin,rearing,3,0.018199233716475
5Per Formalin,rearing,4,0.0052681992337164
5Per Formalin,rearing,5,0.0009578544061302
5Per Formalin,rearing,6,0.0009578544061302
5Per Formalin,rearing,7,0.0004789272030651
5Per Formalin,rearing,8,0.0014367816091954
5Per Formalin,rearing,9,0.0
5Per Formalin,grooming,0,0.0808538163001293
5Per Formalin,grooming,1,0.6914618369987063
5Per Formalin,grooming,2,0.1358344113842173
5Per Formalin,grooming,3,0.0413971539456662
5Per Formalin,grooming,4,0.0155239327296248
5Per Formalin,grooming,5,0.0084087968952134
5Per Formalin,grooming,6,0.0025873221216041
5Per Formalin,grooming,7,0.000646830530401
5Per Formalin,grooming,8,0.001293661060802
5Per Formalin,grooming,9,0.0219922380336351
5Per Formalin,licking hindpaw L,0,0.0046224961479198
5Per Formalin,licking hindpaw L,1,0.2727272727272727
5Per Formalin,licking hindpaw L,2,0.4252696456086287
5Per Formalin,licking hindpaw L,3,0.1294298921417565
5Per Formalin,licking hindpaw L,4,0.0554699537750385
5Per Formalin,licking hindpaw L,5,0.0277349768875192
5Per Formalin,licking hindpaw L,6,0.0107858243451463
5Per Formalin,licking hindpaw L,7,0.0138674884437596
5Per Formalin,licking hindpaw L,8,0.0077041602465331
5Per Formalin,licking hindpaw L,9,0.0523882896764252
5Per Formalin,licking hindpaw R,0,0.1111111111111111
5Per Formalin,licking hindpaw R,1,0.8888888888888888
5Per Formalin,licking hindpaw R,2,0.0
5Per Formalin,licking hindpaw R,3,0.0
5Per Formalin,licking hindpaw R,4,0.0
5Per Formalin,licking hindpaw R,5,0.0
5Per Formalin,licking hindpaw R,6,0.0
5Per Formalin,licking hindpaw R,7,0.0
5Per Formalin,licking hindpaw R,8,0.0
5Per Formalin,licking hindpaw R,9,0.0
