Condition,Behavior,Bin,BinCenter,Probability
Control,still,0,0.6202440778585279,0.004794663331248697
Control,still,1,1.8607322335755836,0.2951844903064415
Control,still,2,3.1012203892926395,0.5636856368563685
Control,still,3,4.341708545009695,0.10089639357932041
Control,still,4,5.582196700726751,0.017510944340212633
Control,still,5,6.822684856443807,0.008338544923910778
Control,still,6,8.063173012160862,0.00375234521575985
Control,still,7,9.303661167877918,0.0031269543464665416
Control,still,8,10.544149323594974,0.0016677089847821555
Control,still,9,11.78463747931203,0.0010423181154888472
Control,walking,0,0.6202440778585279,0.000974025974025974
Control,walking,1,1.8607322335755836,0.05373376623376623
Control,walking,2,3.1012203892926395,0.16623376623376623
Control,walking,3,4.341708545009695,0.11217532467532468
Control,walking,4,5.582196700726751,0.1383116883116883
Control,walking,5,6.822684856443807,0.16217532467532467
Control,walking,6,8.063173012160862,0.14464285714285716
Control,walking,7,9.303661167877918,0.10633116883116883
Control,walking,8,10.544149323594974,0.07142857142857142
Control,walking,9,11.78463747931203,0.043993506493506494
Control,rearing,0,0.6202440778585279,0.0014992503748125937
Control,rearing,1,1.8607322335755836,0.15035339473120582
Control,rearing,2,3.1012203892926395,0.5909188263011351
Control,rearing,3,4.341708545009695,0.17541229385307347
Control,rearing,4,5.582196700726751,0.04626258299421718
Control,rearing,5,6.822684856443807,0.01649175412293853
Control,rearing,6,8.063173012160862,0.008995502248875561
Control,rearing,7,9.303661167877918,0.0049261083743842365
Control,rearing,8,10.544149323594974,0.004283572499464553
Control,rearing,9,11.78463747931203,0.0008567144998929107
Control,grooming,0,0.6202440778585279,0.002152389151958674
Control,grooming,1,1.8607322335755836,0.15755488592337494
Control,grooming,2,3.1012203892926395,0.6414119672836849
Control,grooming,3,4.341708545009695,0.13301764959104606
Control,grooming,4,5.582196700726751,0.027981058975462762
Control,grooming,5,6.822684856443807,0.01334481274214378
Control,grooming,6,8.063173012160862,0.01248385708136031
Control,grooming,7,9.303661167877918,0.007748600947051227
Control,grooming,8,10.544149323594974,0.002582866982350409
Control,grooming,9,11.78463747931203,0.0017219113215669393
Control,licking hindpaw L,0,0.6202440778585279,0.0
Control,licking hindpaw L,1,1.8607322335755836,0.046511627906976744
Control,licking hindpaw L,2,3.1012203892926395,0.18604651162790697
Control,licking hindpaw L,3,4.341708545009695,0.27906976744186046
Control,licking hindpaw L,4,5.582196700726751,0.23255813953488372
Control,licking hindpaw L,5,6.822684856443807,0.16279069767441862
Control,licking hindpaw L,6,8.063173012160862,0.0
Control,licking hindpaw L,7,9.303661167877918,0.023255813953488372
Control,licking hindpaw L,8,10.544149323594974,0.046511627906976744
Control,licking hindpaw L,9,11.78463747931203,0.023255813953488372
Control,licking hindpaw R,0,0.6202440778585279,0.0
Control,licking hindpaw R,1,1.8607322335755836,0.10526315789473684
Control,licking hindpaw R,2,3.1012203892926395,0.7894736842105263
Control,licking hindpaw R,3,4.341708545009695,0.10526315789473684
Control,licking hindpaw R,4,5.582196700726751,0.0
Control,licking hindpaw R,5,6.822684856443807,0.0
Control,licking hindpaw R,6,8.063173012160862,0.0
Control,licking hindpaw R,7,9.303661167877918,0.0
Control,licking hindpaw R,8,10.544149323594974,0.0
Control,licking hindpaw R,9,11.78463747931203,0.0
