animal_id,group,condition,Full Model,No Self-Transition,No Still,No Walk,No Rear,No Groom,No Left Lick,No Right Lick,Shuffled
Female_Group1_0mgkg,Female,Group1_0mgkg,0.022069811822182754,0.016635577492634952,0.017581152028094616,0.017940567717628936,0.018007379599590794,0.017901654815370042,0.017976150389374577,0.018246492432312675,2.212009740457113
Female_Group2_0.5mgkg,Female,Group2_0.5mgkg,0.021771005363265906,0.016885753628195176,0.017565810944200063,0.017731306811818132,0.017764819257794755,0.0176076032549753,0.01768137265147799,0.01793177636837171,2.197917895241881
Female_Group3_1.0mgkg,Female,Group3_1.0mgkg,0.02215792803948067,0.01686219785336228,0.01782384339753362,0.017954946161747004,0.017997173374461006,0.018148954038332256,0.017993628741992465,0.018110767745129586,2.2165741820778835
Female_Group4_5mgkg,Female,Group4_5mgkg,0.022129919774089603,0.01753550816887442,0.017753709334201784,0.01802783259156931,0.017994194774555657,0.017968426536492124,0.018196156948448748,0.017987460672823374,2.2131990365796987
Female_Group5_10mgkg,Female,Group5_10mgkg,0.021997995253424982,0.01702371341273901,0.01759325416705406,0.01782933976725312,0.018009752048808843,0.01788651752965457,0.01782194899681987,0.018040164877330532,2.2209180615930992
Male_Group1_0mgkg,Male,Group1_0mgkg,0.022189890200447305,0.017363201709001297,0.017671337917896025,0.01816007411538872,0.01818624412923075,0.018009254380328334,0.018077417724098196,0.01792635577973276,2.209932354781118
Male_Group2_0.5mgkg,Male,Group2_0.5mgkg,0.02178236777915594,0.016429105628139148,0.01748857348474306,0.017733996167650607,0.017947759855262754,0.017593883493121423,0.017711030578668477,0.017779090326101976,2.2034026663648962
Male_Group3_1.0mgkg,Male,Group3_1.0mgkg,0.021999241617703665,0.016869104004260237,0.017603374056858627,0.01791565957313406,0.017930812617678815,0.017986035927059916,0.017871374440571144,0.01803447175039862,2.2018944098073825
Male_Group4_5mgkg,Male,Group4_5mgkg,0.02192357606205418,0.016745494691366884,0.01759772951797024,0.017778937211968642,0.017848880157826714,0.017820241588774984,0.017731483776854576,0.017952001323231482,2.202618217023355
Male_Group5_10mgkg,Male,Group5_10mgkg,0.02224942495382918,0.016763542177232443,0.017876000840950507,0.01798338050780239,0.018051107543120944,0.017994343560925493,0.018243728370859674,0.018170727802811083,2.211583231034277
